,id,title_description_clean,release_date,Contains
10,6Y2HR1pyDilVqe5BkWHyTP,"How to cover Israel-Gaza, Labour £28bn green investment, and Taylor Swift vs Donald Trump Why is Labour rolling back its pledge on green investment? What does Biden sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?",2024-02-08,Taylor Swift
11,6Y2HR1pyDilVqe5BkWHyTP,"How to cover Israel-Gaza, Labour £28bn green investment, and Taylor Swift vs Donald Trump Why is Labour rolling back its pledge on green investment? What does Biden sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?",2024-02-08,Donald Trump
12,6Y2HR1pyDilVqe5BkWHyTP,"How to cover Israel-Gaza, Labour £28bn green investment, and Taylor Swift vs Donald Trump Why is Labour rolling back its pledge on green investment? What does Biden sanction against Israeli settlers mean in reality? Who is our one listener in Tuvalu?",2024-02-08,Joe Biden
13,2s0Z7YSBiPg9a9imyXOcq7,"King Charles, Sunak £1000 bet, and the future of North Korea How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?",2024-02-07,King Charles
14,2s0Z7YSBiPg9a9imyXOcq7,"King Charles, Sunak £1000 bet, and the future of North Korea How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?",2024-02-07,Rishi Sunak
15,2s0Z7YSBiPg9a9imyXOcq7,"King Charles, Sunak £1000 bet, and the future of North Korea How was a deal finally agreed to get power sharing back in Northern Ireland? Is Rishi Sunak focusing too much on his media appearances? Why has Kim Jong Un said unification with the South is no longer possible?",2024-02-07,Kim Jong Un
16,4rijWhlkC9l1yPtSSSe5KM,"An election in May, combatting homelessness, and investigating think tanks How are anonymous donors keeping Britain political parties afloat? Should the public know where think tanks get their funding from? How worried should we be about voter IDs? and Alastair as they answer all these questions and more on today episode of Question Time.&#xfeff;TRIP Plus:Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes.Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.",2024-02-01,Ben
17,22F9DeqDuciCOLANbIvBe3,"Israel in court, attacks on American soldiers, and the problem with polling What is the significance of the I.C.J. Ruling on Israel? How much control does Iran really have over its proxies? Should Labour brace itself for a sharp narrowing of the polls?",2024-01-31,
18,4nRyqQEZi2x56yzl7YoVvh,"Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia Will the West come to terms with the idea that Netanyahu is not interested in a two state solution? Is ;populism; patronising? Would Starmer tread a fine line or stand up to Donald Trump?",2024-01-25,Donald Trump
19,4nRyqQEZi2x56yzl7YoVvh,"Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia Will the West come to terms with the idea that Netanyahu is not interested in a two state solution? Is ;populism; patronising? Would Starmer tread a fine line or stand up to Donald Trump?",2024-01-25,Netanyahu
20,4nRyqQEZi2x56yzl7YoVvh,"Standing up to Netanyahu, why Starmer would work with Trump, and the differences between Sunni and Shia Will the West come to terms with the idea that Netanyahu is not interested in a two state solution? Is ;populism; patronising? Would Starmer tread a fine line or stand up to Donald Trump?",2024-01-25,Keir Starmer
21,2FpmsBfhA9JetHZ3Sp6fsh,Why Trump return wasn't inevitable How much do you know about the Russian propaganda forced on the population in occupied Ukraine? Where did it all go so wrong for Ron DeSantis? What on earth is going on in Germany with the far-right?,2024-01-24,Ron Desantis
22,2FpmsBfhA9JetHZ3Sp6fsh,Why Trump return wasn't inevitable How much do you know about the Russian propaganda forced on the population in occupied Ukraine? Where did it all go so wrong for Ron DeSantis? What on earth is going on in Germany with the far-right?,2024-01-24,Donald Trump
23,6LgnSBEE3G5MuSxGKo7ZAU,"Taiwan new president, Macron successor, and the difference between Tories and Conservatives How did Ecuador notorious gang leader escape from prison? What does Taiwan new anti-Beijing president mean for the country future? When is it right for MPs resign?",2024-01-18,Emmanuel Macron
24,6hBT42RUzpP1lEeXE8LpAZ,"Is the Middle East sliding into a wider regional conflict? Should there have been a vote on the UK airstrikes in Yemen? How has the Post Office scandal moved from activism to politics, and could there be another Conservative leader before the election?",2024-01-17,
25,4MVjNjiCcKqsR5bd281SNJ,What happens when privatisation goes wrong? Is it possible to be politically active as a civil servant? How did private finance initiatives contribute to the Post Office scandal?  Is a transfer of power possible in Myanmar?,2024-01-11,
26,3kd184v53X8cwZYrHI6sD5,"History warning to Labour, the Post Office scandal, and Bangladesh battle for power How should the fallout of the Post Office scandal be handled? Why do the polls always swing towards the Tories as an election nears? What going on in Bangladesh?",2024-01-10,
27,1UfCH4pnozdyNtokFpdXZM,"Fighting British corruption, Japan economic conundrum, and a Premier League team in Belfast Should Labour create an anti-corruption department if it wins the next election? How great a threat does AI pose to elections in 2024? Is soft power as important as Britain thinks it is?",2024-01-04,
28,50sXUGh0nus0OWzzH4gkAj,"How to fix the honours system, chaos in the Red Sea, and Taiwan at a crossroads What should we make of Liz Truss resignation honours? How does Iran use proxies to attack the US and Israel? Why was the election in the Democratic Republic of the Congo so expensive?",2024-01-03,Liz Truss
29,5aIIEJNUV66P6biJridgse,"How to combat populism, debating Bill Gates, and David Cameron on the world stage (Part 2) What stopped the Middle East from descending into regional conflict following the events of October 7th? Why did 2023 see so many coups across the Sahel? Is David Cameron now Rishi Sunak biggest asset?",2023-12-28,Rishi Sunak
30,5aIIEJNUV66P6biJridgse,"How to combat populism, debating Bill Gates, and David Cameron on the world stage (Part 2) What stopped the Middle East from descending into regional conflict following the events of October 7th? Why did 2023 see so many coups across the Sahel? Is David Cameron now Rishi Sunak biggest asset?",2023-12-28,Bill Gates
31,5aIIEJNUV66P6biJridgse,"How to combat populism, debating Bill Gates, and David Cameron on the world stage (Part 2) What stopped the Middle East from descending into regional conflict following the events of October 7th? Why did 2023 see so many coups across the Sahel? Is David Cameron now Rishi Sunak biggest asset?",2023-12-28,David Cameron
32,1P4dOQhjFknGqKxdVgJwoM,"Scotland pivotal role, the moment everything changed, and whether to serve under Starmer (Part 1) Would Rory serve in a Keir Starmer Labour cabinet? How important is Scotland in the next election? What was the most under-appreciated political moment of 2023?",2023-12-27,Keir Starmer
33,475Iz9mDaoRBgBJUHoV2wb,How dangerous is Giorgia Meloni? Should Joe Biden choose a new running mate? Who is the real Giorgia Meloni? Which reality TV show would Rory and Alastair appear on? Learn more about your ad choices. Visit podcastchoices.com/adchoices,2023-12-21,Joe Biden
34,475Iz9mDaoRBgBJUHoV2wb,How dangerous is Giorgia Meloni? Should Joe Biden choose a new running mate? Who is the real Giorgia Meloni? Which reality TV show would Rory and Alastair appear on? Learn more about your ad choices. Visit podcastchoices.com/adchoices,2023-12-21,Giorgia Meloni
35,2bw3zEandCfhjIlfPJjIxA,"How Labour should fight the election, taking on the British press, and Orbán future far-right axis Who actually is Michelle Mone? Does Starmer need to be braver in how he respond to attacks from his opponents? How much power does Viktor Orbán have in the EU?",2023-12-20,Keir Starmer
36,2bw3zEandCfhjIlfPJjIxA,"How Labour should fight the election, taking on the British press, and Orbán future far-right axis Who actually is Michelle Mone? Does Starmer need to be braver in how he respond to attacks from his opponents? How much power does Viktor Orbán have in the EU?",2023-12-20,Michelle Mone
37,2bw3zEandCfhjIlfPJjIxA,"How Labour should fight the election, taking on the British press, and Orbán future far-right axis Who actually is Michelle Mone? Does Starmer need to be braver in how he respond to attacks from his opponents? How much power does Viktor Orbán have in the EU?",2023-12-20,Viktor Orbán
38,30QeRthE3ZyKcFKA9a4CHI,Could the Tories remove Rishi Sunak? Could Nigel Farage be the next Conservative Party leader? What is happening in Myanmar? How do Rory and Alastair deal with public criticism?,2023-12-14,Rishi Sunak
39,30QeRthE3ZyKcFKA9a4CHI,Could the Tories remove Rishi Sunak? Could Nigel Farage be the next Conservative Party leader? What is happening in Myanmar? How do Rory and Alastair deal with public criticism?,2023-12-14,Nigel Farage
40,6n7jc0FwVDTMiZhGzn0DkM,"The Israeli settler movement, Ukraine blockaded, and Putin perpetual power Is the West moving to a more critical place concerning the Israel-Gaza war? Can Sunak Rwanda policy be lawfully implemented? What is the relationship between Saudi Arabia and Russia?",2023-12-13,Vladimir Putin
41,6n7jc0FwVDTMiZhGzn0DkM,"The Israeli settler movement, Ukraine blockaded, and Putin perpetual power Is the West moving to a more critical place concerning the Israel-Gaza war? Can Sunak Rwanda policy be lawfully implemented? What is the relationship between Saudi Arabia and Russia?",2023-12-13,Rishi Sunak
42,2HIXE9uGobs7RPUotxh4gG,Why the infected blood scandal still haunts today politics How uncomfortable are the left with Starmer praise of Margaret Thatcher? Does Sunak stance on legal migration undermine British universities? What next for George Santos?,2023-12-07,Keir Starmer
43,2HIXE9uGobs7RPUotxh4gG,Why the infected blood scandal still haunts today politics How uncomfortable are the left with Starmer praise of Margaret Thatcher? Does Sunak stance on legal migration undermine British universities? What next for George Santos?,2023-12-07,Margaret Thatcher
44,2HIXE9uGobs7RPUotxh4gG,Why the infected blood scandal still haunts today politics How uncomfortable are the left with Starmer praise of Margaret Thatcher? Does Sunak stance on legal migration undermine British universities? What next for George Santos?,2023-12-07,George Santos
45,2HIXE9uGobs7RPUotxh4gG,Why the infected blood scandal still haunts today politics How uncomfortable are the left with Starmer praise of Margaret Thatcher? Does Sunak stance on legal migration undermine British universities? What next for George Santos?,2023-12-07,Rishi Sunak
46,1TJa3nQNYse5o5EfhMcW7j,"King Charles on the world stage, Argentina Brexit, and the real Henry Kissinger How did King Charles perform at COP? Is Milei more Reagan than Trump? Who was the real Henry Kissinger?",2023-12-06,King Charles
47,1TJa3nQNYse5o5EfhMcW7j,"King Charles on the world stage, Argentina Brexit, and the real Henry Kissinger How did King Charles perform at COP? Is Milei more Reagan than Trump? Who was the real Henry Kissinger?",2023-12-06,Henry Kissinger
48,1TJa3nQNYse5o5EfhMcW7j,"King Charles on the world stage, Argentina Brexit, and the real Henry Kissinger How did King Charles perform at COP? Is Milei more Reagan than Trump? Who was the real Henry Kissinger?",2023-12-06,Ronald Reagan
49,1TJa3nQNYse5o5EfhMcW7j,"King Charles on the world stage, Argentina Brexit, and the real Henry Kissinger How did King Charles perform at COP? Is Milei more Reagan than Trump? Who was the real Henry Kissinger?",2023-12-06,Donald Trump
50,52C613EZ1Hwc23xXvPohfU,Should Labour be bolder on Brexit? Why do politicians avoid discussing the benefits of migration? Do broadcasters allow the agenda do be shaped by the right wing press? What party would Charles Dickens vote for?,2023-11-30,King Charles
51,52C613EZ1Hwc23xXvPohfU,Should Labour be bolder on Brexit? Why do politicians avoid discussing the benefits of migration? Do broadcasters allow the agenda do be shaped by the right wing press? What party would Charles Dickens vote for?,2023-11-30,Charles Dickens
52,52C613EZ1Hwc23xXvPohfU,Should Labour be bolder on Brexit? Why do politicians avoid discussing the benefits of migration? Do broadcasters allow the agenda do be shaped by the right wing press? What party would Charles Dickens vote for?,2023-11-30,Ben
53,01gBFP3UxASMFCADj5yIhy,Why are the far-right on the rise? Should Britain give the Elgin Marbles back to Greece? Will people be financially better off following Hunt Autumn statement? Why have populists like Javier Milei and Geert Wilders performed so well in recent elections?,2023-11-29,Javier Milei
54,01gBFP3UxASMFCADj5yIhy,Why are the far-right on the rise? Should Britain give the Elgin Marbles back to Greece? Will people be financially better off following Hunt Autumn statement? Why have populists like Javier Milei and Geert Wilders performed so well in recent elections?,2023-11-29,Geert Wilders
55,01gBFP3UxASMFCADj5yIhy,Why are the far-right on the rise? Should Britain give the Elgin Marbles back to Greece? Will people be financially better off following Hunt Autumn statement? Why have populists like Javier Milei and Geert Wilders performed so well in recent elections?,2023-11-29,Jeremy Hunt
56,6sLDVYlOvWQCgRXFrDJaks,Is Sunak Rwanda plan doomed to fail? Why was Sam Altman fired from OpenAI? Would a secret ballot have saved a soft Brexit? What options are left for Rishi Sunak after supreme court Rwanda ruling?,2023-11-23,Rishi Sunak
57,6sLDVYlOvWQCgRXFrDJaks,Is Sunak Rwanda plan doomed to fail? Why was Sam Altman fired from OpenAI? Would a secret ballot have saved a soft Brexit? What options are left for Rishi Sunak after supreme court Rwanda ruling?,2023-11-23,Sam Altman
58,4fpwXYxoZnSKof7SVhKM9I,"Autumn statements, Putin progress, and why advertisers are pulling out of X How does inheritance tax work? How have voters reacted to the ceasefire vote? Are Putin prospects improving in the Russia-Ukraine war?",2023-11-22,Vladimir Putin
59,3aH2Y7bsFVhvr9HCbZhJ4I,What makes the Tory right so powerful? Why do the ERG and the right wing of the Tory party hold so much power over their leadership? Could a universal basic income work? How often do Rory and Alastair think about the Roman Empire?,2023-11-16,
60,4hB6JmsRg1hMsl9hkTu9G7,What David Cameron return means for Israel-Gaza What does David Cameron appointment as Foreign Secretary mean for the UK policy towards Israel and Palestine? What happened at the pro-Palestinian and against antisemitism marches? Has prime minister of Spain Pedro Sanchez behaved undemocratically?,2023-11-15,David Cameron
61,4hB6JmsRg1hMsl9hkTu9G7,What David Cameron return means for Israel-Gaza What does David Cameron appointment as Foreign Secretary mean for the UK policy towards Israel and Palestine? What happened at the pro-Palestinian and against antisemitism marches? Has prime minister of Spain Pedro Sanchez behaved undemocratically?,2023-11-15,Pedro Sanchez
62,4HsjBWpGMPymoJMAGRjS2b,Braverman sacked and Cameron returns The emergency pod button has been pushed as David Cameron returns to politics and Suella Braverman has been sacked.,2023-11-13,David Cameron
63,4HsjBWpGMPymoJMAGRjS2b,Braverman sacked and Cameron returns The emergency pod button has been pushed as David Cameron returns to politics and Suella Braverman has been sacked.,2023-11-13,Suella Braverman
64,1hxq6krquKbyD8KZXI7xPz,Should WhatsApp messages stay private? What makes Parliament the most poisonous place to work? Should MPs listen to their SpAds? Was the Freedom of Information Act a mistake?,2023-11-09,
65,53BiNxHsVwGDmhNU884gCi,"The King Speech, performative cruelty, and Argentina How have voters responded to President Biden intervention in the Middle East? Was Sunak summit on AI a success? Who will be the next Argentinian president? and Alastair as they discuss all this and more on today episode of The Rest is Politics.",2023-11-08,Joe Biden
66,53BiNxHsVwGDmhNU884gCi,"The King Speech, performative cruelty, and Argentina How have voters responded to President Biden intervention in the Middle East? Was Sunak summit on AI a success? Who will be the next Argentinian president? and Alastair as they discuss all this and more on today episode of The Rest is Politics.",2023-11-08,Rishi Sunak
67,0R81INfnKUZZmf3gAjWLa9,What the Covid Inquiry says about Britain Does Britain relationship with the USA prevent independent decision making? What does conservatism mean to Jordan Peterson? How do you disagree agreeably about politics with your partner?,2023-11-02,Jordan Peterson
68,6s4HRWzeNJlkyyn6lnKdND,The Left and Israel Has Keir Starmer caused lasting damage to his leadership over his stance on Israel-Gaza? What will Biden be saying behind the scenes to other world leaders? Can the UK become a world leader in AI?,2023-11-01,Joe Biden
69,6s4HRWzeNJlkyyn6lnKdND,The Left and Israel Has Keir Starmer caused lasting damage to his leadership over his stance on Israel-Gaza? What will Biden be saying behind the scenes to other world leaders? Can the UK become a world leader in AI?,2023-11-01,Keir Starmer
70,5TJYkltxiXwwOBmjNeEbvA,Nigel Farage plan to become Tory leader Will Nigel Farage prophecy of becoming the next Conservative leader come true? Should we accept the Taliban rule in Afghanistan? How much of a problem is the size of the British Armed Forces?,2023-10-25,Nigel Farage
71,3mISe3e2xzblY6PMV18cs5,"Global perceptions of Israel-Gaza, Labour-Lib Dem bad blood, and Chinese economic crisis Would an Israeli ground invasion shift international perceptions of the conflict? Why is Labour unhappy with the Lib Dems? Is China teetering on the brink of economic chaos?",2023-10-24,
72,1hbwiAVg18lB7iyEAcMI5c,Why Britain Needs Shorter Prison Sentences How do we solve the prisons crisis in the UK? Will Johnson and Sunak face charges for their lack of cooperation with the Covid inquiry? Should the Liberal Democrats run their campaign on rejoining the EU?,2023-10-18,Boris Johnson
73,1hbwiAVg18lB7iyEAcMI5c,Why Britain Needs Shorter Prison Sentences How do we solve the prisons crisis in the UK? Will Johnson and Sunak face charges for their lack of cooperation with the Covid inquiry? Should the Liberal Democrats run their campaign on rejoining the EU?,2023-10-18,Rishi Sunak
74,3XRK1NaqbqtAj2X3jAdvas,Israel-Gaza: What Happens Next What is the next stage in the war between Israel and Hamas? How important is Joe Biden impending visit? Is it possible to be both victim and oppressor?,2023-10-17,Joe Biden
75,1uTkw7Yo2avk4XCle0UPwf,"Palestine, Gaza, and Israel What it like to live in Gaza? What are the key differences between the PLO, the PA, Fatah and Hamas? How far away are we from the diplomatic high point of the Oslo Accords?",2023-10-17,
76,0XE8ax8Xp3AnesAzPSbYbI,"Israel, invasion, and the trap laid by Hamas Does Hamas actually want Israel to invade Gaza? Is there a danger that this tragic situation will strengthen the hand of the ultra-nationalist Israeli right? How should the international community respond to the war between Israel and Hamas?",2023-10-13,
77,33XJQohDQ6rCGW96nRHWSu,Is Suella Braverman pretending to be right-wing? Would Keir Starmer embrace proportional representation? Is the Tory right just a group of political entrepreneurs using their hardline views to climb the greasy pole? Is a wealth tax the only way to address the problem of funding adult social care?  and Rory as they answer all these questions and more on this week Question Time.,2023-10-11,Keir Starmer
78,33XJQohDQ6rCGW96nRHWSu,Is Suella Braverman pretending to be right-wing? Would Keir Starmer embrace proportional representation? Is the Tory right just a group of political entrepreneurs using their hardline views to climb the greasy pole? Is a wealth tax the only way to address the problem of funding adult social care?  and Rory as they answer all these questions and more on this week Question Time.,2023-10-11,Suella Braverman
79,1ArYtTuaBPnY27PD0ewoWd,Is Keir Starmer ready to be Prime Minister? Is Labour ready for government? What causing the SNP malaise? Did an AI deepfake video contribute to the outcome of the Slovakian election?,2023-10-10,Keir Starmer
80,6SjDCDdaB3TC1N7yPtEypo,Israel At War How did Hamas launch one of the largest invasions on Israeli territory in recent history? What happens now? Will this conflict have geo-political ramifications throughout the Middle East?,2023-10-09,
81,523Ar58aaQW3jhttexqCOn,"A new centrist party, mafia politics in New Jersey, and was Jesus a socialist? How corrupt is US politics? Will we see a new centrist party in the UK? How did Tony Blair overcome nerves at the dispatch box?  Stewart and Alastair Campbell as they answer all these questions and more on today episode of TRIP Question Time.",2023-10-04,Tony Blair
82,2xefxbF34SvsnmsueFIdQV,Can the Tory Party be saved? What actually happens behind the scenes at a Conservative or Labour Party Conference? What would it take to get the Conservative Party back to the centre-ground? What is going on between Kosovo and Serbia? and Alastair as they answer all these questions and more on today episode of The Rest Is Politics.,2023-10-03,
83,0M8pbiBIGzXrpbTcYJisHg,"The Power of Rupert Murdoch What is Rupert Murdoch legacy in the world of media and politics? What did Rory discuss with First Minister of Scotland, Humza Yousaf? Why have there been protests within the Metropolitan Police force? Stewart and Alastair Campbell as they answer all these questions and more on today episode of TRIP Question Time.",2023-09-27,Rupert Murdoch
84,2PpDzucE96TbYrNKTIRn4z,"Scrapping HS2, ‘Ukraine fatigue’, and 'Vive le Roi!' Is Angela Rayner more popular than Keir Starmer? What going on in Poland and why is one of Ukraine strongest allies seemingly waning in its support? Why do the French love King Charles?",2023-09-26,King Charles
85,2PpDzucE96TbYrNKTIRn4z,"Scrapping HS2, ‘Ukraine fatigue’, and 'Vive le Roi!' Is Angela Rayner more popular than Keir Starmer? What going on in Poland and why is one of Ukraine strongest allies seemingly waning in its support? Why do the French love King Charles?",2023-09-26,Keir Starmer
86,2PpDzucE96TbYrNKTIRn4z,"Scrapping HS2, ‘Ukraine fatigue’, and 'Vive le Roi!' Is Angela Rayner more popular than Keir Starmer? What going on in Poland and why is one of Ukraine strongest allies seemingly waning in its support? Why do the French love King Charles?",2023-09-26,Angela Rayner
87,1cykgvDa0hB5OewSuUzHk1,"Corbyn expulsion from Labour, Belgium sex education crisis, and how would Blair fare as PM today? Was Keir Starmer right to expel Jeremy Corbyn from the Labour party? Why is sex education causing protests in Belgium? How would Tony Blair Labour cope in 2023?",2023-09-20,Keir Starmer
88,1cykgvDa0hB5OewSuUzHk1,"Corbyn expulsion from Labour, Belgium sex education crisis, and how would Blair fare as PM today? Was Keir Starmer right to expel Jeremy Corbyn from the Labour party? Why is sex education causing protests in Belgium? How would Tony Blair Labour cope in 2023?",2023-09-20,Tony Blair
89,1cykgvDa0hB5OewSuUzHk1,"Corbyn expulsion from Labour, Belgium sex education crisis, and how would Blair fare as PM today? Was Keir Starmer right to expel Jeremy Corbyn from the Labour party? Why is sex education causing protests in Belgium? How would Tony Blair Labour cope in 2023?",2023-09-20,Jeremy Corbyn
90,1IiyRkmOfXZjjXs2AUbFVO,"Liz Truss returns, Putin Western puppets, and Rory at the United Nations What have we learnt on the first anniversary of Britain catastrophic experiment with Trussonomics? and Alastair as they discuss Libya, the United Nations General Assembly, Putin plan to get Europe hooked on Russian oil, and more on today episode of The Rest is Politics.",2023-09-19,Vladimir Putin
91,1IiyRkmOfXZjjXs2AUbFVO,"Liz Truss returns, Putin Western puppets, and Rory at the United Nations What have we learnt on the first anniversary of Britain catastrophic experiment with Trussonomics? and Alastair as they discuss Libya, the United Nations General Assembly, Putin plan to get Europe hooked on Russian oil, and more on today episode of The Rest is Politics.",2023-09-19,Liz Truss
92,7xxcsjiTh4kjx3UhcjSXRh,"The return of Liz Truss, Slovakia answer to Viktor Orbán, and Starmer popularity waning? Has Slovakia got the new Orbán? How can Liz Truss save the west? Is Starmer popularity weaning?",2023-09-13,Keir Starmer
93,7xxcsjiTh4kjx3UhcjSXRh,"The return of Liz Truss, Slovakia answer to Viktor Orbán, and Starmer popularity waning? Has Slovakia got the new Orbán? How can Liz Truss save the west? Is Starmer popularity weaning?",2023-09-13,Liz Truss
94,7xxcsjiTh4kjx3UhcjSXRh,"The return of Liz Truss, Slovakia answer to Viktor Orbán, and Starmer popularity waning? Has Slovakia got the new Orbán? How can Liz Truss save the west? Is Starmer popularity weaning?",2023-09-13,Viktor Orbán
95,5HTkBa8Gc1apm6wPo84QcN,"Prison escape, a test for Australian democracy, and spooks in Westminster? What was it like for Rory as a prisons minister when prisoners escaped? Are there Chinese spies working in Westminster? What happening with The Voice referendum in Australia? and Alastair as they answer all these questions and more on today episode of The Rest Is Politics.",2023-09-12,
96,5Zf67yFhMOPhR8DNpJIlth,"Imagining Labour first 100 days in power, Australia Indigenous Voice referendum, and compulsory politics in schools Do MPs talk enough about their mental health? What will be the outcome of Australia Indigenous Voice Referendum? Should politics be a compulsory part of primary education?",2023-09-06,
97,4WnWdLyHVeQeiu5VvOydEy,"Crumbling Britain, a ruthless reshuffle, and Jeremy Corbyn ‘beautiful ears’ Who to blame for the UK crumbling infrastructure? Has Starmer shadow cabinet reshuffle strengthened his hand? Why is Rory such a fan of Jeremy Corbyn ears?",2023-09-05,Keir Starmer
98,4WnWdLyHVeQeiu5VvOydEy,"Crumbling Britain, a ruthless reshuffle, and Jeremy Corbyn ‘beautiful ears’ Who to blame for the UK crumbling infrastructure? Has Starmer shadow cabinet reshuffle strengthened his hand? Why is Rory such a fan of Jeremy Corbyn ears?",2023-09-05,Jeremy Corbyn
99,4WnWdLyHVeQeiu5VvOydEy,"Crumbling Britain, a ruthless reshuffle, and Jeremy Corbyn ‘beautiful ears’ Who to blame for the UK crumbling infrastructure? Has Starmer shadow cabinet reshuffle strengthened his hand? Why is Rory such a fan of Jeremy Corbyn ears?",2023-09-05,Jeremy Corbyn ‘
100,6FDw1P3LZiiDlSMLZHojre,"How to rig an election, Scotland golden goose, and the least impressive president of all time How did Mnangagwa win the Zimbabwe election? Who is the least impressive world leader Rory and Alastair have met? What makes a good political memoir?",2023-08-30,
101,4ZakYuwqnqRYHqAJWEpjYz,"Vladimir Putin, Narendra Modi, and absolute populist power What will happen to Wagner operations in Africa now that Yevgeny Prigozhin is dead? How dangerous is Modi rhetoric for India and the world? Who has had a bigger impact on the constituents of Mid Bedfordshire in the last few months - Nadine Dorries or Darren Bent?",2023-08-29,Vladimir Putin
102,4ZakYuwqnqRYHqAJWEpjYz,"Vladimir Putin, Narendra Modi, and absolute populist power What will happen to Wagner operations in Africa now that Yevgeny Prigozhin is dead? How dangerous is Modi rhetoric for India and the world? Who has had a bigger impact on the constituents of Mid Bedfordshire in the last few months - Nadine Dorries or Darren Bent?",2023-08-29,Narendra Modi
103,4ZakYuwqnqRYHqAJWEpjYz,"Vladimir Putin, Narendra Modi, and absolute populist power What will happen to Wagner operations in Africa now that Yevgeny Prigozhin is dead? How dangerous is Modi rhetoric for India and the world? Who has had a bigger impact on the constituents of Mid Bedfordshire in the last few months - Nadine Dorries or Darren Bent?",2023-08-29,Yevgeny Prigozhin
104,4ZakYuwqnqRYHqAJWEpjYz,"Vladimir Putin, Narendra Modi, and absolute populist power What will happen to Wagner operations in Africa now that Yevgeny Prigozhin is dead? How dangerous is Modi rhetoric for India and the world? Who has had a bigger impact on the constituents of Mid Bedfordshire in the last few months - Nadine Dorries or Darren Bent?",2023-08-29,Darren Bent
105,4ZakYuwqnqRYHqAJWEpjYz,"Vladimir Putin, Narendra Modi, and absolute populist power What will happen to Wagner operations in Africa now that Yevgeny Prigozhin is dead? How dangerous is Modi rhetoric for India and the world? Who has had a bigger impact on the constituents of Mid Bedfordshire in the last few months - Nadine Dorries or Darren Bent?",2023-08-29,Ben
